Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
诸公 (n),诸公,,notion,1,0,1,1,0,1,0.010192,10,0.193768,0.205742,0
范樸斋(1945),范樸斋,,author,0,7,7,0,7,7,0.092179,9,0.23005,0.250622,7944.329329
人们 (n),人们,,notion,1,0,1,1,0,1,0.007104,10,0.18704,0.197343,0
关怀 (n),关怀,,notion,1,0,1,1,0,1,0.007104,10,0.18704,0.197343,0
安慰 (n),安慰,,notion,1,0,1,1,0,1,0.007104,10,0.18704,0.197343,0
范蕙(1945),范蕙,,author,0,9,9,0,9,9,0.088957,9,0.228655,0.249232,7996.32628
避免 (n),避免,,notion,1,0,1,1,0,1,0.007336,10,0.186117,0.196354,0
之所以 (n),之所以,,notion,1,0,1,1,0,1,0.006323,10,0.175052,0.184798,0
复原 (n),复原,,notion,1,0,1,1,0,1,0.006323,10,0.175052,0.184798,0
异于 (n),异于,,notion,1,0,1,1,0,1,0.006323,10,0.175052,0.184798,0
禽兽 (n),禽兽,,notion,1,0,1,1,0,1,0.006323,10,0.175052,0.184798,0
立此存照 (n),立此存照,,notion,1,0,1,1,0,1,0.006323,10,0.175052,0.184798,0
衣冠禽兽 (n),衣冠禽兽,,notion,1,0,1,1,0,1,0.006323,10,0.175052,0.184798,0
读后 (n),读后,,notion,1,0,1,1,0,1,0.006323,10,0.175052,0.184798,0
荃麟(1945),荃麟,,author,0,3,3,0,3,3,0.003138,11,0.152223,0.157941,4673
叫做 (n),叫做,,notion,1,0,1,1,0,1,0.001261,12,0.13212,0.135721,0
战术 (n),战术,,notion,1,0,1,1,0,1,0.001261,12,0.13212,0.135721,0
草草(1945),草草,,author,0,3,3,0,3,3,0.013485,9,0.19106,0.201004,2360.29074
进一言 (n),进一言,,notion,1,0,1,1,0,1,0.001943,10,0.160423,0.166098,0
莊稼(1945),莊稼,,author,0,3,3,0,3,3,0.037971,9,0.215822,0.23245,1706.9139
莫同尧(1945),莫同尧,,author,0,2,2,0,2,2,0.001782,1,1,1,1
人生观 (n),人生观,,notion,1,0,1,1,0,1,0.00105,2,0.666667,0.75,0
确立 (n),确立,,notion,1,0,1,1,0,1,0.00105,2,0.666667,0.75,0
莫启欧(1945),莫启欧,,author,0,4,4,0,4,4,0.014384,11,0.164822,0.174044,41.779399
