Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
寄语,寄语,notion,"#FFFF00",0,3,3,0,3,3,0.011133,4,0.275682,0.296617,2975.764759
富于,富于,notion,"#FFFF00",0,1,1,0,1,1,0.012494,4,0.283198,0.308574,0
富春江,富春江,notion,"#FFFF00",0,1,1,0,2,2,0.00728,4,0.268473,0.284365,0
富阳,富阳,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
寒夜,寒夜,notion,"#FFFF00",0,2,2,0,2,2,0.017256,4,0.292691,0.322928,2252.81383
察哈尔,察哈尔,notion,"#FFFF00",0,2,2,0,3,3,0.011635,4,0.278498,0.301164,652.865065
对外,对外,notion,"#FFFF00",0,6,6,0,7,7,0.039196,4,0.336867,0.379089,17971.874756
对外贸易,对外贸易,notion,"#FFFF00",0,3,3,0,39,39,0.027255,4,0.312427,0.349946,4810.092715
对峙,对峙,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
对比,对比,notion,"#FFFF00",0,2,2,0,2,2,0.023948,4,0.31089,0.347928,2886.946409
对立,对立,notion,"#FFFF00",0,7,7,0,7,7,0.046353,4,0.351785,0.394863,24318.61755
寺禁,寺禁,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
寻夫,寻夫,notion,"#FFFF00",0,1,1,0,1,1,0.002872,4,0.256349,0.262345,0
导师,导师,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
封建,封建,notion,"#FFFF00",0,4,4,0,5,5,0.021916,4,0.297787,0.330315,5614.824075
封闭,封闭,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
将士,将士,notion,"#FFFF00",0,1,1,0,1,1,0.002872,4,0.256349,0.262345,0
