Id,Label,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
合同,合同,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001424,4,0.253205,0.256288,0
合唱,合唱,notion,notion,"#FFFF00",0,2,2,0,2,2,0.015175,4,0.292144,0.322112,2504.849578
合唱团,合唱团,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
合川,合川,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
吉普,吉普,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006776,4,0.269878,0.286786,0
吉田,吉田,notion,notion,"#FFFF00",0,4,4,0,8,8,0.021687,4,0.304983,0.340177,7627.358525
同一个,同一个,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
同业,同业,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
同人,同人,notion,notion,"#FFFF00",0,2,2,0,2,2,0.011145,4,0.280599,0.304509,2026.291426
同友,同友,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
同姓,同姓,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
同时,同时,notion,notion,"#FFFF00",0,2,2,0,2,2,0.012474,4,0.285977,0.312886,1822.114175
同时代,同时代,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
同正,同正,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001795,4,0.254284,0.258382,0
同看,同看,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001795,4,0.254284,0.258382,0
名字,名字,notion,notion,"#FFFF00",0,3,3,0,3,3,0.014471,4,0.287229,0.314817,2928.384893
名牌,名牌,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
名画,名画,notion,notion,"#FFFF00",0,2,2,0,2,2,0.01373,4,0.288565,0.316806,1787.82497
名誌,名誌,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003263,4,0.258179,0.265798,0
后援,后援,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
后果,后果,notion,notion,"#FFFF00",0,4,4,0,14,14,0.015781,4,0.285658,0.31245,4054.689113
后能,后能,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
后语,后语,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
后面,后面,notion,notion,"#FFFF00",0,4,4,0,4,4,0.027271,4,0.320444,0.359953,12853.584401
向着,向着,notion,notion,"#FFFF00",0,4,4,0,4,4,0.018501,4,0.294539,0.325644,7548.438211
向订,向订,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
吕梁,吕梁,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001424,4,0.253205,0.256288,0
君主,君主,notion,notion,"#FFFF00",0,1,1,0,1,1,0.005684,4,0.265963,0.279968,0
君道,君道,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
吞下,吞下,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006205,4,0.268472,0.284361,0
否认,否认,notion,notion,"#FFFF00",0,4,4,0,6,6,0.021578,4,0.300765,0.33443,7103.210091
含治人,含治人,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
含笑,含笑,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
听不清,听不清,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
听任,听任,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
听到,听到,notion,notion,"#FFFF00",0,2,2,0,2,2,0.011787,4,0.282135,0.306934,1887.593174
听审,听审,notion,notion,"#FFFF00",0,3,3,0,4,4,0.021836,4,0.308335,0.344607,6545.323925
听得,听得,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
