Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
之幕职(1948),之幕职,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
之战(1948),之战,notion,0,5,5,0,8,8,0.058262,4,0.341982,0.384678,15200.898698
之行(1948),之行,notion,0,3,3,0,5,5,0.024286,4,0.288839,0.317317,5141.270303
九月底(1948),九月底,notion,0,1,1,0,7,7,0.009755,4,0.266617,0.281135,0
九龙(1948),九龙,notion,0,5,5,0,12,12,0.053037,4,0.335597,0.377723,17006.45327
乡建(1948),乡建,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
乡村(1948),乡村,notion,0,10,10,0,17,17,0.084848,4,0.381274,0.422623,52590.998633
争取(1948),争取,notion,0,5,5,0,8,8,0.050232,4,0.331597,0.373231,17696.721803
事实(1948),事实,notion,0,6,6,0,8,8,0.070762,4,0.365685,0.408425,27368.365217
二三(1948),二三,notion,0,8,8,0,13,13,0.087788,4,0.402561,0.439849,52822.334612
二十一(1948),二十一,notion,0,2,2,0,3,3,0.022488,4,0.288152,0.31623,2102.825587
二十一条(1948),二十一条,notion,0,1,1,0,2,2,0.016518,4,0.278724,0.3015,0
五四(1948),五四,notion,0,6,6,0,17,17,0.062161,4,0.346717,0.389724,19024.359288
交通(1948),交通,notion,0,5,5,0,7,7,0.048747,4,0.330547,0.372033,20020.883256
京沪(1948),京沪,notion,0,4,4,0,6,6,0.05773,4,0.348389,0.391344,14070.628341
人民解放军(1948),人民解放军,notion,0,1,1,0,6,6,0.016518,4,0.278724,0.3015,0
人物(1948),人物,notion,0,6,6,0,10,10,0.075732,4,0.381235,0.422368,31625.549729
今后(1948),今后,notion,0,6,6,0,12,12,0.066011,4,0.362404,0.405331,30119.94347
介绍(1948),介绍,notion,0,6,6,0,9,9,0.05708,4,0.341609,0.384334,24958.363815
代表(1948),代表,notion,0,8,8,0,16,16,0.083858,4,0.391282,0.430898,47817.841686
份子(1948),份子,notion,0,4,4,0,5,5,0.036007,4,0.30644,0.342229,9217.177126
会战(1948),会战,notion,0,2,2,0,3,3,0.022141,4,0.285959,0.312902,1122.074528
会演(1948),会演,notion,0,1,1,0,2,2,0.009755,4,0.266617,0.281135,0
会议(1948),会议,notion,0,8,8,0,25,25,0.092518,4,0.414602,0.448866,56243.934767
会谈(1948),会谈,notion,0,3,3,0,4,4,0.042314,4,0.321357,0.361107,6944.653827
伟大(1948),伟大,notion,0,5,5,0,11,11,0.060004,4,0.350273,0.393329,20525.43449
传统(1948),传统,notion,0,4,4,0,5,5,0.045809,4,0.322876,0.362993,10303.975646
低头(1948),低头,notion,0,1,1,0,2,2,0.002332,4,0.253398,0.256677,0
何处(1948),何处,notion,0,6,6,0,8,8,0.06503,4,0.363456,0.406329,33701.967264
何香凝(1948),何香凝,notion,0,1,1,0,2,2,0.009739,4,0.265806,0.279704,0
作品(1948),作品,notion,0,2,2,0,3,3,0.026503,4,0.295799,0.327444,2668.961321
侵略(1948),侵略,notion,0,5,5,0,11,11,0.055282,4,0.341174,0.383813,18196.685288
侵略者(1948),侵略者,notion,0,1,1,0,2,2,0.01424,4,0.275514,0.296275,0
保卫(1948),保卫,notion,0,8,8,0,13,13,0.077574,4,0.377784,0.419484,41755.316044
保卫和平(1948),保卫和平,notion,0,1,1,0,4,4,0.009755,4,0.266617,0.281135,0
保护(1948),保护,notion,0,6,6,0,10,10,0.073837,4,0.370738,0.413084,27536.291112
修正(1948),修正,notion,0,5,5,0,6,6,0.05972,4,0.343577,0.386375,14526.390885
假面具(1948),假面具,notion,0,1,1,0,3,3,0.009755,4,0.266617,0.281135,0
元代(1948),元代,notion,0,1,1,0,3,3,0.007515,4,0.262793,0.274313,0
免於(1948),免於,notion,0,1,1,0,2,2,0.01424,4,0.275514,0.296275,0
党部(1948),党部,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
全体(1948),全体,notion,0,1,1,0,2,2,0.009755,4,0.266617,0.281135,0
全国(1948),全国,notion,0,4,4,0,12,12,0.054331,4,0.336107,0.378233,10345.926443
全局(1948),全局,notion,0,2,2,0,4,4,0.026269,4,0.293695,0.324415,1931.353166
全文(1948),全文,notion,0,1,1,0,3,3,0.009755,4,0.266617,0.281135,0
八闽(1948),八闽,notion,0,1,1,0,2,2,0.016752,4,0.279138,0.302165,0
公平(1948),公平,notion,0,2,2,0,3,3,0.019569,4,0.280598,0.30455,1193.220239
公开信(1948),公开信,notion,0,3,3,0,7,7,0.037828,4,0.311575,0.348895,5613.568801
公敌(1948),公敌,notion,0,1,1,0,4,4,0.016518,4,0.278724,0.3015,0
公断(1948),公断,notion,0,2,2,0,3,3,0.026972,4,0.293947,0.324781,1749.441854
公民(1948),公民,notion,0,2,2,0,3,3,0.019494,4,0.280535,0.30445,1251.270065
公约(1948),公约,notion,0,4,4,0,5,5,0.0267,4,0.28681,0.314311,4543.221812
六个月(1948),六个月,notion,0,1,1,0,2,2,0.016518,4,0.278724,0.3015,0
共和国(1948),共和国,notion,0,2,2,0,4,4,0.019494,4,0.280535,0.30445,1251.270065
关於(1948),关於,notion,0,1,1,0,3,3,0.011322,4,0.269061,0.285394,0
内战(1948),内战,notion,0,7,7,0,11,11,0.077722,4,0.373874,0.415968,31542.726866
内蒙(1948),内蒙,notion,0,1,1,0,2,2,0.016518,4,0.278724,0.3015,0
