Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
孟起,孟起,,author,0,8,152,0,8,252,0.08659,4,0.48862,0.506013,791.175532
孟超,孟超,,author,0,3,338,0,3,654,0.272771,4,0.503388,0.532714,239.15876
季向阳,季向阳,,author,0,4,11,0,4,12,0.0072,4,0.446931,0.461766,89.542535
季振平,季振平,,author,0,3,55,0,3,61,0.04478,4,0.470484,0.484181,69.495921
季明,季明,,author,0,10,171,0,10,342,0.107367,4,0.490232,0.508818,851.225533
季陶达,季陶达,,author,0,3,39,0,3,54,0.024878,4,0.434335,0.453621,18.856103
季青,季青,,author,0,3,40,0,3,52,0.030117,4,0.442987,0.461048,56.942091
宁静,宁静,,author,0,5,94,0,5,138,0.044406,4,0.471739,0.488691,178.788561
宋××,宋××,,author,0,1,141,0,1,183,0.101949,4,0.48165,0.500157,0
宋友洪,宋友洪,,author,0,3,79,0,3,182,0.051446,4,0.465822,0.482925,304.365649
宋曼,宋曼,,author,0,8,401,0,8,745,0.360795,4,0.512417,0.544157,1867.393446
宋藜野,宋藜野,,author,0,3,268,0,3,438,0.21461,4,0.499194,0.523672,532.171313
宏基,宏基,,author,0,2,10,0,2,11,0.006611,5,0.388209,0.406175,7.614598
宝善,宝善,,author,0,1,3,0,1,3,0.002453,5,0.35801,0.37027,0
宫恺,宫恺,,author,0,4,10,0,4,13,0.00502,5,0.39688,0.415217,2.225607
容肇祖,容肇祖,,author,0,1,3,0,2,6,0.002374,5,0.369001,0.384015,0
密特尔,密特尔,,author,0,3,163,0,3,213,0.118607,4,0.488363,0.506866,199.017636
富苪叶（Gilberts_Freyre）,富苪叶（Gilberts_Freyre）,,author,0,6,70,0,6,99,0.04925,4,0.473061,0.487525,124.761399
封叔,封叔,,author,0,0,0,0,0,0,0,0,0,0,0
封淑,封淑,,author,0,10,286,0,10,446,0.192117,4,0.502911,0.52771,1634.786467
小市民,小市民,,author,0,3,62,0,3,95,0.054359,4,0.471499,0.485685,70.139597
小燕,小燕,,author,0,1,12,0,1,16,0.007246,4,0.441093,0.456987,0
小石,小石,,author,0,7,172,0,7,367,0.108952,4,0.487594,0.507113,5999.566256
小莊,小莊,,author,0,3,65,0,3,84,0.03188,4,0.450236,0.46944,81.569573
小谢,小谢,,author,0,0,0,0,0,0,0,0,0,0,0
少若,少若,,author,0,4,372,0,4,642,0.349835,4,0.510025,0.540029,300.285666
尙吕,尙吕,,author,0,4,293,0,4,469,0.201213,4,0.502911,0.528339,1798.258792
尹颖默,尹颖默,,author,0,2,19,0,2,31,0.010013,4,0.444418,0.460442,43.420343
尼尔·史塔福,尼尔·史塔福,,author,0,3,7,0,3,9,0.003477,5,0.378362,0.395091,0
岑砧,岑砧,,author,0,9,130,0,9,201,0.07999,4,0.48215,0.499484,1361.586585
崔毅然,崔毅然,,author,0,4,349,0,4,604,0.336941,4,0.50821,0.536798,1698.896255
巩韦,巩韦,,author,0,4,59,0,4,66,0.043597,4,0.462343,0.478393,225.586156
巴什基洛夫,巴什基洛夫,,author,0,4,32,0,4,45,0.024252,4,0.459029,0.473389,15.158569
巴甫洛夫,巴甫洛夫,,author,0,3,28,0,3,30,0.023756,4,0.454701,0.469664,18.193134
市隐,市隐,,author,0,2,13,0,2,18,0.007271,4,0.441145,0.457122,12.657356
希蓝,希蓝,,author,0,2,68,0,2,95,0.043717,4,0.455203,0.473613,13.356349
常守琦,常守琦,,author,0,4,72,0,4,118,0.05907,4,0.470127,0.485505,7.961822
常寿之,常寿之,,author,0,3,48,0,3,56,0.023445,4,0.456939,0.473209,194.339285
平伯,平伯,,author,0,2,26,0,3,50,0.020134,4,0.445217,0.461654,1.311883
平子,平子,,author,0,4,84,0,4,98,0.051306,4,0.474451,0.489768,870.120287
幼华,幼华,,author,0,3,34,0,6,98,0.018159,5,0.436479,0.455134,50.1558
庚夫,庚夫,,author,0,3,164,0,3,267,0.086902,4,0.487914,0.506619,326.474166
廖冰,廖冰,,author,0,1,28,0,1,58,0.015954,4,0.452761,0.468049,0
开滦一份子,开滦一份子,,author,0,11,266,0,11,369,0.164372,4,0.495663,0.521114,4997.707013
异戈,异戈,,author,0,3,15,0,3,18,0.012946,4,0.435864,0.452657,9.039161
张一知,张一知,,author,0,1,4,0,1,4,0.000711,5,0.344048,0.352666,0
张云平,张云平,,author,0,0,0,0,0,0,0,0,0,0,0
张元济,张元济,,author,0,8,12,0,13,20,0.008935,5,0.428769,0.446226,119.397868
张光华,张光华,,author,0,2,9,0,2,10,0.00644,5,0.415762,0.434087,1.912298
张卖君,张卖君,,author,0,1,10,0,1,15,0.00687,5,0.42436,0.442187,0
张坚,张坚,,author,0,1,1,0,1,1,0.001395,5,0.372892,0.388041,0
