Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
第一次 (n),第一次,,notion,1,0,2,3,0.000145,5,0.311601,0.31907,0
补充 (n),补充,,notion,2,0,18,24,0.005929,5,0.389132,0.409983,4181
支部 (n),支部,,notion,1,0,611,2240,0.925943,4,0.497324,0.547565,0
边缘 (n),边缘,,notion,1,0,34,38,0.010915,5,0.380909,0.402459,0
政情 (n),政情,,notion,2,0,73,94,0.045079,5,0.426387,0.449996,0
天下 (n),天下,,notion,4,0,93,252,0.024582,5,0.43007,0.454758,1536.146201
近作 (n),近作,,notion,1,0,6,6,0.000211,5,0.304323,0.313546,0
总队 (n),总队,,notion,1,0,14,15,0.002066,5,0.348732,0.364487,0
左右 (n),左右,,notion,2,0,55,65,0.030113,5,0.417282,0.440367,275.469042
罗素 (n),罗素,,notion,1,0,45,159,0.023038,5,0.400575,0.423828,0
训练 (n),训练,,notion,2,0,35,46,0.005657,5,0.383178,0.405408,468.387916
法币 (n),法币,,notion,5,0,39,115,0.013921,5,0.408398,0.430866,6924.025511
国会 (n),国会,,notion,2,0,30,37,0.018028,5,0.403746,0.425363,0
环绕 (n),环绕,,notion,1,0,6,6,0.000694,5,0.330045,0.341974,0
贷款 (n),贷款,,notion,8,0,738,2506,0.937866,4,0.511622,0.566993,24936.55761
采风 (n),采风,,notion,1,0,39,250,0.008229,5,0.373626,0.395596,0
读物 (n),读物,,notion,1,0,118,183,0.036708,5,0.43198,0.458644,0
同志会 (n),同志会,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
贵州 (n),贵州,,notion,1,0,2,2,0.000036,7,0.242632,0.246363,0
企业 (n),企业,,notion,3,0,15,33,0.006742,5,0.365719,0.384174,187.047971
天桥 (n),天桥,,notion,1,0,17,19,0.000719,5,0.336201,0.350247,0
沉痛 (n),沉痛,,notion,2,0,10,10,0.005576,5,0.374329,0.393181,78.602693
田赋 (n),田赋,,notion,1,0,28,172,0.004887,5,0.376282,0.396405,0
腐蚀 (n),腐蚀,,notion,1,0,118,183,0.036708,5,0.43198,0.458644,0
史料 (n),史料,,notion,1,0,1,1,0.00007,6,0.293227,0.301526,0
作品 (n),作品,,notion,2,0,6,7,0.000133,6,0.288513,0.297278,620.045821
追索 (n),追索,,notion,1,0,5,5,0.003532,5,0.371041,0.38973,0
未了 (n),未了,,notion,1,0,18,22,0.003913,5,0.37994,0.400303,0
美英 (n),美英,,notion,2,0,130,217,0.0505,4,0.44409,0.469612,1238.877626
民盟二中全会 (n),民盟二中全会,,notion,1,0,21,29,0.012788,5,0.410443,0.431201,0
偶像 (n),偶像,,notion,1,0,1,1,0.000018,1,1,1,0
委员会 (n),委员会,,notion,3,0,125,151,0.052259,4,0.434494,0.460864,915.338906
反映 (n),反映,,notion,1,0,51,62,0.019957,5,0.415664,0.438502,0
居士 (n),居士,,notion,1,0,38,40,0.003144,5,0.37114,0.39242,0
转向 (n),转向,,notion,1,0,3,3,0.003273,5,0.355733,0.372067,0
自治 (n),自治,,notion,3,0,634,2310,0.927642,4,0.49994,0.551152,6108.115221
怒潮 (n),怒潮,,notion,1,0,81,130,0.019056,5,0.388626,0.414407,0
四种 (n),四种,,notion,1,0,8,11,0.000148,1,1,1,0
