"Id","Label"
"费孝通(1946)","费孝通"
"陈士华(1946)","陈士华"
"高祖文(1946)","高祖文"
"黎纬北(1946)","黎纬北"
"一波(1946)","一波"
"严景耀(1946)","严景耀"
"千家驹(1946)","千家驹"
"史刚(1946)","史刚"
"吴世昌(1946)","吴世昌"
"吴泽(1946)","吴泽"
"周公南(1946)","周公南"
"寒松(1946)","寒松"
"小芒(1946)","小芒"
"张一凡(1946)","张一凡"
"更生(1946)","更生"
"杨光明(1946)","杨光明"
"梁纯夫(1946)","梁纯夫"
"湘渔(1946)","湘渔"
"瞿康祖(1946)","瞿康祖"
"胡先驌(1946)","胡先驌"
"胡愈之(1946)","胡愈之"
"范蕙(1946)","范蕙"
"许寿裳(1946)","许寿裳"
"赵渢(1946)","赵渢"
"钱晓义(1946)","钱晓义"
"陈梅卿(1946)","陈梅卿"
"顾佩之(1946)","顾佩之"
"魏明(1946)","魏明"
"Donald_Morrow(1946)","Donald_Morrow"
"东方晦之(1946)","东方晦之"
"东衣(1946)","东衣"
"任钧(1946)","任钧"
"伊人(1946)","伊人"
"伍啓元(1946)","伍啓元"
"伍宪子(1946)","伍宪子"
"何陋之(1946)","何陋之"
"信民(1946)","信民"
"克士(1946)","克士"
"刘健(1946)","刘健"
"刘清扬(1946)","刘清扬"
"卢淑(1946)","卢淑"
"吴耀宗(1946)","吴耀宗"
"吴靓云(1946)","吴靓云"
"子敬(1946)","子敬"
"宋宝山(1946)","宋宝山"
"小民(1946)","小民"
"张霞飞(1946)","张霞飞"
"思慕(1946)","思慕"
"戴文赛(1946)","戴文赛"
"新武(1946)","新武"
"木耳(1946)","木耳"
"李战林(1946)","李战林"
"李普曼(1946)","李普曼"
"欧阳倩(1946)","欧阳倩"
"永生(1946)","永生"
"沈同衡(1946)","沈同衡"
"沈志远(1946)","沈志远"
"王之德(1946)","王之德"
"王时颖(1946)","王时颖"
"王昆生(1946)","王昆生"
"田汉(1946)","田汉"
"稽古(1946)","稽古"
"章伯钧(1946)","章伯钧"
"若愚(1946)","若愚"
"萧公权(1946)","萧公权"
"蔡壬侯(1946)","蔡壬侯"
"西谛(1946)","西谛"
"赵心梅(1946)","赵心梅"
"适夷(1946)","适夷"
"郭沫若(1946)","郭沫若"
"陈烟桥(1946)","陈烟桥"
"陶行知(1946)","陶行知"
"马寅初(1946)","马寅初"
"黎卿(1946)","黎卿"
"一之(1946)","一之"
"万武(1946)","万武"
"云涛(1946)","云涛"
"以平(1946)","以平"
"任鸿隽(1946)","任鸿隽"
"何兆坤(1946)","何兆坤"
"何恕(1946)","何恕"
"储安平(1946)","储安平"
"司徒尚德(1946)","司徒尚德"
"向凡(1946)","向凡"
"吴祖光(1946)","吴祖光"
"周而复(1946)","周而复"
"唐旻(1946)","唐旻"
"夏孟辉(1946)","夏孟辉"
"夏康农(1946)","夏康农"
"子午(1946)","子午"
"孙起孟(1946)","孙起孟"
"客尔纳(1946)","客尔纳"
"尊闻(1946)","尊闻"
"尚铖(1946)","尚铖"
"张云川(1946)","张云川"
"张志和(1946)","张志和"
"慧年(1946)","慧年"
"文琴(1946)","文琴"
"方治平(1946)","方治平"
"晨曦(1946)","晨曦"
"曾昭抡(1946)","曾昭抡"
"李健吾(1946)","李健吾"
"林汉达(1946)","林汉达"
"梁秋水(1946)","梁秋水"
"毅夫(1946)","毅夫"
"沈定一(1946)","沈定一"
"洪涛(1946)","洪涛"
"王之枚(1946)","王之枚"
"王向凡(1946)","王向凡"
"罗稷南(1946)","罗稷南"
"耶戈(1946)","耶戈"
"胡冈(1946)","胡冈"
"范登堡(1946)","范登堡"
"茅盾(1946)","茅盾"
"萧扬(1946)","萧扬"
"萧明(1946)","萧明"
"萧曙(1946)","萧曙"
"萧秋(1946)","萧秋"
"蒋匀田(1946)","蒋匀田"
"裴仁(1946)","裴仁"
"费青(1946)","费青"
"赤峰(1946)","赤峰"
