Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
科冈(1946),科冈,,author,author,"#B4B4B4",0,1,322,0,1,818,0.283156,3,0.490754,0.545572,0
秦今(1946),秦今,,author,author,"#B4B4B4",0,1,59,0,1,96,0.014765,3,0.413421,0.439694,0
秦伶(1946),秦伶,,author,author,"#B4B4B4",0,1,110,0,1,201,0.01923,3,0.446217,0.477536,0
秦似(1946),秦似,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
秦晓芳(1946),秦晓芳,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
秦楚(1946),秦楚,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
秦芳晓(1946),秦芳晓,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
移模(1946),移模,,author,author,"#B4B4B4",0,1,322,0,1,818,0.283156,3,0.490754,0.545572,0
程婴(1946),程婴,,author,author,"#B4B4B4",0,1,241,0,1,487,0.196457,3,0.495452,0.535749,0
程造之(1946),程造之,,author,author,"#B4B4B4",0,1,67,0,1,179,0.00524,3,0.378289,0.403543,0
空了(1946),空了,,author,author,"#B4B4B4",0,1,52,0,1,85,0.026505,3,0.404613,0.429791,0
窦季良(1946),窦季良,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
章__若(1946),章__若,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
章仪(1946),章仪,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
章士谷(1946),章士谷,,author,author,"#B4B4B4",0,1,91,0,1,142,0.030929,3,0.442497,0.471337,0
章左(1946),章左,,author,author,"#B4B4B4",0,1,402,0,1,693,0.60993,2,0.553772,0.597101,0
章廷(1946),章廷,,author,author,"#B4B4B4",0,1,110,0,1,201,0.01923,3,0.446217,0.477536,0
章育材(1946),章育材,,author,author,"#B4B4B4",0,1,283,0,1,616,0.111974,3,0.43949,0.499678,0
章英(1946),章英,,author,author,"#B4B4B4",0,1,95,0,1,151,0.019676,3,0.425313,0.456763,0
竹江(1946),竹江,,author,author,"#B4B4B4",0,1,59,0,1,96,0.014765,3,0.413421,0.439694,0
笑白(1946),笑白,,author,author,"#B4B4B4",0,1,69,0,1,84,0.024858,3,0.437447,0.463446,0
符唐祖(1946),符唐祖,,author,author,"#B4B4B4",0,1,67,0,1,179,0.00524,3,0.378289,0.403543,0
