Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
生活 (n),得好 (n),Undirected,232553,notion-notion,,2,,,,notion<--->notion
生活 (n),性质 (n),Undirected,232554,notion-notion,,2,,,,notion<--->notion
生活 (n),歪曲事实 (n),Undirected,232555,notion-notion,,2,,,,notion<--->notion
生活 (n),民族气节 (n),Undirected,232556,notion-notion,,2,,,,notion<--->notion
生活 (n),法西斯 (n),Undirected,232557,notion-notion,,2,,,,notion<--->notion
生活 (n),法西斯主义 (n),Undirected,232558,notion-notion,,2,,,,notion<--->notion
生活 (n),消灭 (n),Undirected,232559,notion-notion,,2,,,,notion<--->notion
生活 (n),略谈 (n),Undirected,232560,notion-notion,,2,,,,notion<--->notion
生活 (n),薪水阶级 (n),Undirected,232561,notion-notion,,2,,,,notion<--->notion
生活 (n),试问 (n),Undirected,232562,notion-notion,,2,,,,notion<--->notion
生活 (n),说话 (n),Undirected,232563,notion-notion,,2,,,,notion<--->notion
生活 (n),这回 (n),Undirected,232564,notion-notion,,2,,,,notion<--->notion
生活 (n),关键 (n),Undirected,232565,notion-notion,,1,,,,notion<--->notion
生活 (n),理论 (n),Undirected,232566,notion-notion,,1,,,,notion<--->notion
生活 (n),军校 (n),Undirected,232567,notion-notion,,1,,,,notion<--->notion
生活 (n),新闻自由 (n),Undirected,232568,notion-notion,,1,,,,notion<--->notion
生活 (n),基本 (n),Undirected,232569,notion-notion,,1,,,,notion<--->notion
生活 (n),不能 (n),Undirected,232570,notion-notion,,1,,,,notion<--->notion
生活 (n),座谈会 (n),Undirected,232571,notion-notion,,1,,,,notion<--->notion
生活 (n),沦陷区 (n),Undirected,232572,notion-notion,,1,,,,notion<--->notion
生活 (n),三种 (n),Undirected,232573,notion-notion,,1,,,,notion<--->notion
生活 (n),最低 (n),Undirected,232574,notion-notion,,1,,,,notion<--->notion
生活 (n),统一 (n),Undirected,232575,notion-notion,,1,,,,notion<--->notion
生活 (n),军队 (n),Undirected,232576,notion-notion,,1,,,,notion<--->notion
生活 (n),民主同盟 (n),Undirected,232577,notion-notion,,1,,,,notion<--->notion
生活 (n),两封信 (n),Undirected,232578,notion-notion,,1,,,,notion<--->notion
生活 (n),个人 (n),Undirected,232579,notion-notion,,3,,,,notion<--->notion
生活 (n),下乡 (n),Undirected,232580,notion-notion,,1,,,,notion<--->notion
生活 (n),解决 (n),Undirected,232581,notion-notion,,2,,,,notion<--->notion
生活 (n),浪潮 (n),Undirected,232582,notion-notion,,6,,,,notion<--->notion
生活 (n),之夜 (n),Undirected,232583,notion-notion,,1,,,,notion<--->notion
生活 (n),改善 (n),Undirected,232584,notion-notion,,1,,,,notion<--->notion
生活 (n),小市民 (n),Undirected,232585,notion-notion,,1,,,,notion<--->notion
生活 (n),落空 (n),Undirected,232586,notion-notion,,1,,,,notion<--->notion
生活 (n),中华 (n),Undirected,232587,notion-notion,,1,,,,notion<--->notion
生活 (n),教育社 (n),Undirected,232588,notion-notion,,1,,,,notion<--->notion
生活 (n),浙大 (n),Undirected,232589,notion-notion,,6,,,,notion<--->notion
生活 (n),老百姓 (n),Undirected,232590,notion-notion,,1,,,,notion<--->notion
生活 (n),三章 (n),Undirected,232591,notion-notion,,1,,,,notion<--->notion
生活 (n),流血 (n),Undirected,232592,notion-notion,,1,,,,notion<--->notion
生活 (n),收复 (n),Undirected,232593,notion-notion,,1,,,,notion<--->notion
生活 (n),急待 (n),Undirected,232594,notion-notion,,1,,,,notion<--->notion
